id_spoti,id_lastfm,artist_name,listeners,popularity,genres,start_date,language
4gzpq5DPGxSnKTe4SA8HAU,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,9297985,,"rock, alternative, britpop, alternative rock, indie, pop, indie rock, pop rock",1997,ENG
3Nrfpe0tUJi4K4DXYWgMUX,0d79fe8e-ba27-4859-bb8c-2f255f346853,BTS,2577813,,"k-pop, kpop, pop, rap, hip hop, hip-hop, rnb, dance",2013,KOR
41MozSoPIsD1dJM0CLPjZF,48646387-1664-4c9a-9139-9bfd091b823c,BLACKPINK,2088567,,"k-pop, kpop, pop, dance, hip-hop",2016,KOR
3HqSLMAZ3g3d5poNaI7GOU,b9545342-1e6d-4dae-84ac-013374ad8d7c,IU,1125603,,"k-pop, kpop, pop, ballad",2008,KOR
5snNHNlYT2UrtZo5HCJkiw,57f1cdd6-cf32-4004-a095-3ef043c91b61,Epik High,419828,,"hip-hop, k-pop, hip hop, rap, kpop, k-hiphop, korean hip-hop",2001,KOR
57okaLdCtv3nVBSn5otJkp,,HYUKOH,311661,,"rock, indie, indie rock, k-indie, k-rock, indie pop",2014,KOR
5j4HeCoUlzhfWtjAfM1acR,ab2528d9-719f-4261-8098-21849222a0f2,Stromae,2114168,,"electronic, dance, electronica, house, pop, hip-hop, electro",2000,FRA
7IlRNXHjoOCgEAWN5qYksg,cf580d82-3f3e-4b86-8874-7e0fbe794f01,Aya Nakamura,588254,,"rnb, pop, hip-hop, rap, hip hop",2014,FRA
4FpJcNgOvIpSBeJgRg3OfN,6cad3ce5-6380-4594-a8da-ae7d273b683d,Orelsan,221922,,"rap, hip-hop, hip hop, rap francais, french rap",2002,FRA
4PwlsrN0t5mLN0C827cbEU,,L'Impératrice,716574,,"synthpop, funk, electronic, nu-disco, house, pop",2012,FRA
4tZwfgrHOc3mvqYlEYSvVi,056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,6465803,,"electronic, house, dance, techno, electronica, electro, french house, disco",1993,ENG
0lAWpj5szCSwM4rUMHYmrr,3862342a-43c4-4cdb-8250-bfdbfb5e1419,Måneskin,1976223,,"rock, glam rock, alternative rock, funk rock, pop rock, hard rock, pop",2016,ITA
06nvjg4wBANK6DCHjqtPNd,ecd032cc-19c8-4a05-902c-e539d3bc75fd,Mahmood,255248,,"pop, rnb, hip-hop",2012,ITA
2e4nwiX8ZCU09LGLOpeqTH,472b9953-1f10-4aed-b1ec-d0c23ffb2cf1,Laura Pausini,597671,,"pop, italian pop, latin, ballad, soft rock",1993,ITA
2ARH58Hit3yC6ziGdhma23,8d173bdf-c83e-42d7-8355-c8d6f0d10c0e,Elisa,346229,,"pop, rock, alternative",1996,ITA
